x,y
bother,1
worse,1
,0
010 110,0
boring,0
bad bad,1
unfunny unfunny garbage,0
budget bad 0,0
,0
powell,1
,1
bad pg13,1
pointless boring bad,0
,1
raines raines raines raines raines raines raines,1
horrible,1
,1
,1
bad,1
bad,0
cgi poorly horrible laughable eaten stupid eat cgi,0
bad,1
bad jagger,1
bad,0
,0
,0
tomatoes,0
,0
worse mindless worse crap mindless pointless crap,0
poorly pathetic worse,0
,1
bad bad bad bad bad bad boring,0
crap,1
bad,1
tomatoes fooled,0
,0
bad,1
capturing,1
bad,0
christie margaret,1
worse,0
,1
gifted,1
bad bad waste 210,0
,1
bad stupid worse stupid stupid crappy waste 110 0,0
,1
bad,1
bad,1
awful unoriginal costs,0
,0
,1
waste rathbone capturing,0
understated,1
boring filler boring filler,0
,1
suck boring,0
bad holes bad bad bad,0
waste plain,0
bad,1
,0
cheap,1
,1
boring stupid,1
,1
,1
,0
postwar,1
,1
bad stupid,1
,1
,1
poitier fake,0
,1
ella raines budget raines horrible raines raines,1
veidt powell,1
suck,0
,1
awful worse suck bother waste dumb,0
crap lame,0
bad poorly costs,0
,1
filler,0
,0
boring camcorder plain,0
,1
,0
rathbone,1
,1
,1
,1
,0
,1
,0
bad,1
capturing capturing boring,1
budget cheesy bad bad,0
pointless boring lame waste,0
plain awful,0
,1
,1
,1
,0
bad bad ripped,1
,0
,1
worse budget,0
,1
plain horrible lame toilet bad bad,0
bin,0
zombies,0
,1
,1
uwe bad bad uwe bad gonna uwe pile dung sucks steaming pile sht,0
costs budget meaningless,0
,0
margaret,1
unfunny worse,0
fake,0
worse bad,0
waste horrible,0
excuse,1
holes ripped,0
,1
lame horrible,0
,1
ronald sheridan illogical,1
,0
,1
,0
budget,1
bad crap cheap bad worse crap worse,1
awful,0
,1
sucks,0
,1
boring,1
michel unoriginal,0
bad,0
boring poorly bad ripoff padding garbage,0
gonna bad,1
cheap poorly cheap worse worse,0
boring,0
,1
bad meaningless plain stupid,0
0,0
,1
worse awful bad bad bad rubbish,0
bad boring fake,0
,1
horrible waste bin costs kidding kidding fake fake fake fake pathetic costs,0
,1
,1
,0
bad,0
captures errol flynn,1
,1
,1
,1
bother bad pointless bad kidding,0
alfred,0
budget budget eaten boring bad stupid worse boring unimaginative pointless budget pathetic,0
bad,1
,1
,1
ripped cheap plain cheap cheap,0
,1
gifted,0
,1
,1
junk capturing,1
eaten bad,0
gifted reginald albert illogical albert stupid,1
bad dumb crap eat,0
,1
,1
,1
gonna,0
,1
,1
,1
bad carroll,1
laura,1
,1
bad gonna,0
ticked costs,0
laughable stupid pile bad worse laughable gonna,0
awful,0
,1
,0
,1
,1
,1
lame waste,0
budget boring 110,0
boring bad bad horrible,0
waste bad dumb stupid horrible,0
pathetic ripoff,0
,1
,1
captures,1
barbara,0
bad,1
worse waste,0
excuse lame 90 bad pile dumb bad,0
holes,1
bad,0
unwatchable boring,0
bin,1
kidding,1
,0
contribution bad lionel cheap cheap,0
,1
,1
lame crappy dumb dumb dumb plain bad,0
crap stink boring pointless bad waste bad,0
horrible waste,0
bad,0
,1
bad pointless gonna zombies filler,0
,0
gifted,0
,1
waste,0
pg13,1
boring bad awful,0
,1
,1
,1
,1
cheap bad,0
bad bad bad bad bad bad,0
,1
plain,1
friendship,1
,0
joss ackland,1
cheap,1
budget,0
,0
pathetic excuse holes holes sucks,0
stupid,0
bad bad,0
stupid ripoff bad horrible meaningless sucked stupid fake stupid,1
bad bad bad bad bad bad,0
bin fake awful budget budget mindless,0
mins,0
,1
boring fooled stupid,0
,0
understated boring,1
waste,0
irene myrna loy,1
,1
christy christy,1
,1
crap bad pathetic morons crap stupid bad,0
,1
,1
bad bad,0
,1
bad,0
boring ripped,0
stupid bad atrocious bad stupid unimaginative bad stupid incoherent costs,0
waste sucked,0
bad awful pointless waste crap bad bad lame lame cringing waste,0
,1
,1
antwone antwone,1
suck bad lame sucks crap horrible crap awful plain awful crappy,0
bad horrible waste,0
bad worse laughably cheap bad bad lame bad,0
olympia olympia,1
waste excuse poorly,0
plain,0
bother bad poorly illogical stupid,0
rubbish bad,0
,1
blandings cary loy pile blandings postwar blandings blandings postwar,1
,1
bad bad holes bad,1
,1
stewart,1
awful bad,0
bad steaming,0
,1
plain fake bad,1
bad,1
,0
budget worse,1
bad bad,0
bad,1
,1
bad bad bad,0
bad excuse,0
210,0
stewart bad bad bad stewart,1
plain stupid stupid sucks,0
,1
postwar,1
pointless plain,0
eat eat eat alexander,0
bad,0
unimaginative dumb,0
captures,0
,1
,1
,1
,1
horrible laughably bad bad,0
,1
boring,1
awful bad,0
,0
plain,1
lame budget cringing lame vulnerability,1
bad bad dumb bad boring,0
crappy costs kidding,0
,0
,1
loyalty waste muni,1
bad,0
bad bad excuse puke,1
bad plain stupid,0
,1
camcorder,0
filler,1
,1
stewart stewart stewart stewart,1
bad,0
bad bad,0
boring 210 110,0
,1
cheap,0
,1
,1
bad dumb bad bad,0
capturing,1
cringing,1
,1
bad newman newman,1
,1
sucks junk wasting,0
,1
,1
,1
toilet bad excuse budget crap budget worse,1
alfre woodard,1
uwe bad uwe uwe padding uwe boring stupid amateurish bad dumb dumber uwe pathetic,0
swearing awful bad,0
stupid stupid gonna,0
,0
horrible 90 tomatoes,0
poorly franz,0
90 lame costs,0
boring worse,0
cheap,1
capturing,1
,0
poorly cheap,0
bad fake rubber,0
ronald obrien,1
snowballs 0,0
liu,1
poorly bad worse bad waste 210,0
pg13 plain bad bad worse bad suck bad,0
sucks bad worse waste crap,0
,1
swearing,1
boring 90 mindless holes,0
crap stupid,1
pioneer philip,1
bad fake bother,0
awful bad,0
bad horrible,0
bad bad,0
,1
laura ugh,1
,1
stupid,0
,1
uwe zombies bin bad 110,0
suck lame,0
,1
barbara stanwyck stanwyck,1
budget bad dumb bad,0
bad,1
waste awful waste awful,0
elegance,1
,0
nonsensical bad pointless,0
,1
turd barrel awful lame lame boring budget cheap poorly crap plain waste rubbish,0
horrible bad,0
lansbury bad,1
,0
,1
cheap olympia,1
,1
,0
bother,1
,0
stupid,0
waste,0
painter worse,0
crap costs bad horrible excuse crap,0
cheap budget bad bad,0
boring boring laughable garbage stupid laughable garbage costs,0
,1
,1
bad pathetic,0
,1
worse bad,0
budget philip albert finney,1
bad bad bad bad pile steaming bad renting crap,0
turbulent laughable bad,0
