x,y
poorly,0
bad dont,1
,1
unfunny boring cheap mess,0
netflix iti,1
idiots dumb,0
previews scary previews dont scared predictable effects scare dont bad scary laughing plain bad,0
bad bad,1
dont,0
dont terrible bad,0
worse asleep minutes disbelief,0
reviews wanna dont wanna disbelief bad bad crap disgusting please dont,0
dont pathetic boring 310,0
predictable,1
dont,1
laugh,1
effects,1
couldnt bad offended seriously,0
seriously dont dont terrible horrible trash laugh laughable,0
redeeming,1
mindless jokes joke dont dont mindless,1
spoiler yourself garbage,1
unfunny excuse rubbish effects,0
horrible dubbing laughing dubbing dont scary zombies,0
,0
,1
,1
laugh,1
90 minutes minutes minutes dont dont minutes dont boring wanna,0
spoiler holes popcorn yourself scared minutes bad scary gore effects yourself dont bad,1
boring,1
spoiling yourself,1
drivel,0
awful couldnt please bother disgusting excuse crap,0
dumb trash,0
horrible crap minutes crap laughing minutes bad vcr bad,0
previews fart worse crap couldnt 0,0
mess,1
dont dumb illogical illogical,0
jokes reviews horrible toilet jokes wouldnt stupid dumb,0
,0
confusing terrible dumb rushed minutes dont bothered awful terrible unnecessary,0
excruciatingly dont waste,0
,1
barrel horrible scary dont cheap cheap budget effects laughing bad bad,0
honestly ripped please dont,0
couldnt stomach minutes horrible seriously please 90 minutes dont mess tomatoes,0
dont dont,0
dont asleep lame lame lame wouldnt fooled critters wouldnt eaten bother asleep,0
bad,0
registered pathetic puke bad effects poorly,0
,1
budget,1
sequels bad worse sequels bad sequels dont spoiler waste trash dont dont bad dont worse worse dont,0
,1
minutes junk terrible,0
stupid,0
sit couldnt bad bad offended crap disgusting drivel couldnt bad sit horrible minutes,0
bad horrible rented dont rent,0
bad,0
,1
jokes jokes,1
barrel slasher bad stupid boring gore slasher trash,0
,1
dont please,1
dont bad minutes mindless crap pile junk,0
laugh,1
mouths,1
dont dont,0
,1
poorly gore boring,0
budget scared sit laugh stupid cheap gore,1
scary scary,1
dont halfway please please please dumb lame dont wouldnt bad trash unless dont,0
dont holes minutes horrible poorly,1
waste garbage remotely terrible laughable scare,0
,1
fart jokes toilet yourself reviews reviews,1
couldnt laugh,1
